Domain Code,Domain,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Year Code,Year,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2010","2010","6128","Value","kcal/cap/d","204","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2011","2011","6128","Value","kcal/cap/d","189","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2012","2012","6128","Value","kcal/cap/d","178","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2013","2013","6128","Value","kcal/cap/d","193","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2014","2014","6128","Value","kcal/cap/d","163","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2015","2015","6128","Value","kcal/cap/d","163","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2016","2016","6128","Value","kcal/cap/d","164","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2017","2017","6128","Value","kcal/cap/d","163","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2018","2018","6128","Value","kcal/cap/d","168","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2019","2019","6128","Value","kcal/cap/d","158","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2020","2020","6128","Value","kcal/cap/d","172","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","166","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","380","Italy","FG10","Fruits and their products","4003","Energy supply","2022","2022","6128","Value","kcal/cap/d","175","E","Estimated value",""
